art	sztuka
bank bank
beach plaża
book książka
cafe kawiarnia
country	państwo
desert pustynia
dictionary słownik
earth ziemia
flowers	kwiaty
forest las
game gra
garden ogród
geography geografia
history historia
house dom
island wyspa
lake jezioro
library biblioteka
math matematyka
moon księżyc
mountain góra
movies filmy
music muzyka
ocean ocean
office biuro
player gracz
river rzeka
science nauka
sea morze
sky niebo
stars gwiazdy
supermarket supermarket
theater teatr
tree drzewo
weather pogoda
cloudy pochmurno
cold zimno
cool zimno
foggy mglisto
hot gorąco
pouring ulewnie
rain deszcz
raining deszczowo
snow śnieg
snowing śnieżnie
ice lód
sunny słonecznie
windy wietrznie
spring wiosna
summer lato
autumn jesień
winter zima
people ludzie
aunt ciocia
baby dziecko
brother brat
cousin kuzyn
daughter córka
dentist dentysta
doctor lekarz
father ojciec
grandfather dziadek
grandmother babcia
husband mąż
mother matka
nephew siostrzeniec
niece siostrzenica
nurse pielęgniarka
policeman policjant
postman listonasz
professor profesor
son syn
teacher nauczyciel
uncle wujek
wife żona
bathroom łazienka
bed łóżko
bedroom sypialnia
ceiling sufit
chair krzesło
clothes odzież
coat płaszcz
cup filiżanka
desk biurko
dress sukienka
floor piętro
fork widelec
furniture meble
glass szklanka
hat kapelusz
house dom
ink atrament
jacket kurtka
kitchen kuchnia
knife nóż
lamp lampa
letter list
map mapa
newspaper gazeta
notebook notatnik
pants spodnie
paper papier
pen długopis
pencil ołówek
pharmacy apteka
picture zdjęcie
plate talerz
refrigerator lodówka
restaurant restauracja
roof dach
room pokój
rug dywan
scissors nożyczki
shampoo szampon
shirt koszula
shoes obuwie
soap mydło
socks skarpety
spoon łyżka
table stół
toilet toaleta
towel ręcznik
umbrella parasol
underwear bielizna
wall ściana
wallet portfel
window okno
telephone telefon
bad zły
clean czysty
dark ciemny
difficult trudny
dirty brudny
dry suchy
easy łatwy
empty pusty
expensive drogi
fast szybki
foreign zagraniczny
full pełny
good dobry
hard twardy
heavy ciężki
inexpensive tani
light lekki
local lokalny
new nowy
noisy hałaśliwy
old stary
powerful potężny
quiet cichy
correct poprawny
slow powolny
soft miękki
very bardzo
weak słaby
wet mokry
wrong zły
young młody
food żywność
almonds migdały
bread chleb
breakfast śniadanie
butter masło
candy cukierek
cheese ser
chicken kurczak
cumin kminek
dessert deser
dinner obiad
fish ryba
fruit owoc
lamb jagnięcina
lemon cytryna
lunch lunch
meal posiłek
meat mięso
oven piekarnik
pepper pieprz
plants rośliny
pork wieprzowina
salad sałatka
salt sól
sandwich kanapka
sausage kiełbasa
soup zupa
sugar cukier
supper kolacja
turkey indyk
apple jabłko
banana banan
oranges pomarańcze
peaches brzoskwinie
peanut orzech ziemny
pears gruszki
pineapple ananas
grapes winogrona
strawberries truskawki
vegetables warzywa
carrot marchew
corn kukurydza
cucumber ogórek
garlic czosnek
lettuce sałata
olives oliwki
onions cebule
peppers papryka
potatoes ziemniaki
pumpkin dynia
bean fasola
tomatoes pomidory
alligator aligator
alligators aligatory
bear niedźwiedź
bears niedźwiedzie
bird ptak
birds ptaki
bull byk
bulls byki
cat kot
cats koty
cow krowa
cows krowy
deer jeleń
dog pies
dogs psy
donkey osioł
donkeys	osły
eagle orzeł
eagles orły
elephant słoń
elephants słonie
giraffe żyrafa
giraffes żyrafy
goat koza
goats kozy
horse koń
horses konie
lion lew
lions lwy
monkey małpa
monkeys małpy
mouse mysz
mice myszy
rabbit królik
rabbits króliki
snake wąż
snakes węże
tiger tygrys
tigers tygrysy
wolf wilk
wolves wilki
sizes rozmiary
big duży
deep głęboki
long długi
narrow wąski
short krótki
small mały
tall wysoki
thick gruby
thin cienki
wide szeroki
tastes smaki
bitter gorzki
fresh świeży
salty słony
sour kwaśny
spicy pikantny
sweet słodki
